Nom;Type;Ingrédients;Instructions;Temps;Origine;Kcal
"Pâtes à la Carbonara
 au Saumon 

";Plat principal;Pâtes, Saumon, Oeufs, Crème, Parmesan;"Cuire les pâtes, mélanger les œufs avec la crème et le parmesan,
 ajouter le saumon fumé en fines lamelles, 
puis mélanger avec les pâtes chaudes. 
Assaisonner de poivre.";25 minutes;Italie;600
Ramen;Plat principal;Pâtes, Bouillon poulet, Sauce soja, Algue nori, Oignon vert;"Cuire les nouilles de ramen, 
préparer le bouillon,
 assembler avec des tranches de porc grillé, 
un œuf mollet et des garnitures.";30 minutes;Japon;500
Yakisoba express;Plat principal;Pâtes, Poulet, Carotte, Oignon, Sauce yakisoba;"Cuire les nouilles selon les instructions, puis les égoutter.
Couper le poulet en lanières.
Trancher la carotte en julienne et l'oignon en fines tranches
Faire sauter  le poulet dans une poêle jusqu'à cuisson.
Ajouter la carotte et l'oignon, faire sauter jusqu'à tendreté.
Ajouter les nouilles cuites à la poêle.
Verser la sauce yakisoba sur les ingrédients et bien mélanger
Faire sauter pendant quelques minutes 
jusqu'à ce que les nouilles soient chaudes et bien enrobées de sauce.";15 minutes;Japon;450
Pâtes au Pesto;Plat principal;Pâtes, Sauce pesto, Tomate cerise, Poivre noir, Parmesan;"Cuire les pâtes selon les instructions.
Dans un bol, mélanger les pâtes cuites avec le pesto.
Saupoudrer de parmesan râpé et de poivre noir moulu.
Mélanger bien et garnir avec les tomates cerises coupées en deux.";15 minutes;Italie;500
Pad Thai aux crevettes;Plat principal;Pâtes, Crevette, Oeufs, Germe de soja, Sauce Pad ThaÏ;"Cuire les nouilles de riz selon les instructions et égouttez.
Dans une poêle, faire cuire les crevettes jusqu'à ce qu'elles soient roses
 et bien cuites.
Pousser les crevettes sur le côté de la poêle, ajouter les œufs battus
 et remuer jusqu'à ce qu'ils soient cuits.
Ajouter les nouilles cuites dans la poêle, suivi des germes de soja.
Verser la sauce Pad Thai sur les ingrédients
 dans la poêle et mélanger bien.";20 minutes;Thaïlande ;420
Ravioli Tomates Basilic;Plat principal;Pâtes, Tomate cerise, Huile d'olive, Basilic, Ail;"Faites cuire les ravioli selon les instructions sur l'emballage. Égoutter-les et réserver.
Dans une poêle, chauffer l'huile d'olive à feu moyen. 
Ajouter l'ail haché et faites-le revenir jusqu'à ce qu'il soit légèrement doré.
Ajouter les tomates cerises coupées en deux à la poêle. 
Faites-les sauter pendant quelques minutes jusqu'à ce qu'elles soient légèrement
ramollies.
Ajouter les ravioli cuits à la poêle. 
Mélanger délicatement pour enrober les ravioli avec le mélange d'ail et de tomates.
Assaisonner avec du sel et du poivre selon votre goût.
Server les ravioli dans des assiettes, garnisser de feuilles de basilic frais.
";15 minutes;Italie;600
Spaghetti Aglio e Olio;Plat principal;Pâtes , Piment rouge, Huile d'olive, Persil, Ail;"Cuire les spaghetti selon les instructions.
Dans une poêle, faire chauffer l'huile d'olive et faire revenir l'ail et l
e piment rouge écrasé à feu doux.
Ajouter les pâtes cuites à la poêle, mélanger bien pour enrober les pâtes 
d'huile et d'ail.
Assaisonner avec du sel, garnisser de persil frais.
";15 minutes;Italie;400
Poulet Rôti au citron et romarin;Plat Principal;Poulet, Jus de citron, Romarin, Huile d'olive, Epices;"Préchauffez le four à 200°C.
Assaisonnez les cuisses de poulet avec du sel, du poivre,
 et du romarin frais haché.
Placez les cuisses de poulet dans un plat allant au four.
Arrosez les cuisses avec le jus de citron et un filet d'huile d'olive.
Enfournez et faites cuire pendant environ 40 minutes ou 
jusqu'à ce que le poulet soit bien doré et cuit à cœur.
Retirez du four et laissez reposer quelques minutes avant de servir.
Garnissez de quelques branches de romarin frais pour la présentation";50 minutes;Méditerranée;400
Poulet Teriyaki Grillé;Plat Principal;Poulet, Sauce teriyaki, Graines de sésame, Oignon vert, Marinade de gingembre;"Préchauffer le gril à feu moyen-élevé,
Retirez le poulet préalablement mariné de la marinade au gingembre 
Faites griller le poulet pendant environ 6-8 minutes de chaque côté, 
en badigeonnant de sauce teriyaki pendant la cuisson.
Lorsque le poulet est presque cuit, saupoudrez de graines
de sésame et continuez à griller jusqu'à ce qu'il soit bien doré.
Retirez du gril et laissez reposer quelques minutes avant de trancher.
Garnissez avec des oignons verts tranchés et servez.
";30 minutes;Japon;400
Salade cesar;Entrée;Poulet,Laitue, Croutons, Parmesan, Vinaigrette césar;"Disposez la laitue romaine déchirée dans un grand saladier.
Ajoutez les filets de poulet grillés et tranchés sur la laitue.
Saupoudrez les croûtons à l'ail sur la salade.
Parsemez le parmesan râpé sur la salade.
Arrosez la vinaigrette César sur la salade juste avant de servir.
Mélangez délicatement pour enrober tous les ingrédients de la vinaigrette.";15 minutes;USA;400
